side,qty,rate,time
2,0.005,65077161290,2024-09-26 01:56:15.757
1,0.005,61194308160,2024-09-26 02:00:00.658
1,0.005,50000000000,2024-09-25 04:39:41.638
1,0.005,40000000000,2024-09-25 04:40:00.432
1,0.005,35000000000,2024-09-25 04:42:21.917
1,0.005,30000000000,2024-09-25 04:40:09.191
1,0.005,25000000000,2024-09-25 04:42:15.658
1,0.005,20000000000,2024-09-25 04:40:16.659
1,0.005,15000000000,2024-09-25 04:42:09.743
1,0.005,10000000000,2024-09-25 04:40:22.608
1,0.005,5000000000,2024-09-25 04:41:08.321
1,0.005,4000000000,2024-09-25 04:41:24.653
1,0.005,3000000000,2024-09-25 04:41:29.878
1,0.005,2000000000,2024-09-25 04:41:35.049
1,0.005,1000000000,2024-09-25 04:41:39.916
1,0.005,500000000,2024-09-25 04:42:01.925
1,0.005,100000000,2024-09-25 04:41:51.474
