side,qty,rate,time
2,160.0,24000,2024-09-04 05:42:38.670
2,40.0,23470,2024-09-11 02:01:47.281
2,120.0,22040,2024-09-11 02:02:30.879
2,160.0,22000,2024-09-04 05:42:22.677
2,40.0,21800,2024-09-11 02:06:30.728
2,40.0,21770,2024-09-11 02:02:47.018
2,40.0,21750,2024-09-09 10:43:07.207
2,40.0,21700,2024-09-10 15:25:18.010
2,40.0,21660,2024-09-11 02:02:46.873
2,40.0,21650,2024-09-09 10:31:38.717
2,40.0,21620,2024-09-10 11:20:00.968
2,40.0,21600,2024-09-11 02:03:16.708
2,40.0,21600,2024-09-09 10:42:18.000
2,40.0,21560,2024-09-11 02:02:46.686
2,40.0,21500,2024-09-11 02:04:03.208
2,40.0,21500,2024-09-11 02:04:03.646
2,40.0,21500,2024-09-11 02:04:03.422
2,80.0,21500,2024-09-11 02:04:03.852
2,40.0,21420,2024-09-11 02:00:48.312
1,40.0,20830,2024-09-11 01:42:45.704
1,40.0,20760,2024-09-11 02:07:31.335
1,80.0,20760,2024-09-11 02:07:46.398
1,120.0,20750,2024-09-11 02:07:46.615
1,40.0,20750,2024-09-11 02:04:02.114
1,40.0,20750,2024-09-11 02:04:02.306
1,40.0,20750,2024-09-11 02:05:45.992
1,160.0,20710,2024-09-11 02:07:46.824
1,40.0,20680,2024-09-11 02:02:46.009
1,200.0,20630,2024-09-11 02:07:47.033
1,40.0,20600,2024-09-11 01:47:46.896
1,40.0,20580,2024-09-11 02:02:46.212
1,40.0,20500,2024-09-11 01:15:16.190
1,40.0,20470,2024-09-11 02:02:46.369
1,40.0,20400,2024-09-11 01:03:46.638
1,40.0,20300,2024-09-11 02:06:31.135
1,40.0,20200,2024-09-10 15:38:22.389
1,40.0,20150,2024-09-10 11:16:00.704
1,80.0,16000,2024-09-06 20:25:39.449
