side,qty,rate,time
2,200.0,18470000,2024-12-19 08:51:25.373
2,15.0,17275330,2024-12-23 02:05:46.666
2,15.0,17117240,2024-12-23 02:05:46.378
2,10.0,17050590,2024-12-23 02:00:56.434
2,10.0,16971540,2024-12-23 02:00:55.827
2,15.0,16959150,2024-12-23 02:05:46.107
2,10.0,16892490,2024-12-23 02:00:55.028
2,10.0,16813440,2024-12-23 02:00:54.408
2,15.0,16801060,2024-12-23 02:05:45.812
2,10.0,16734390,2024-12-23 02:00:53.552
2,10.0,16655340,2024-12-23 02:00:52.878
2,15.0,16642970,2024-12-23 02:05:45.541
2,0.1,16435900,2024-12-23 02:08:32.723
2,0.1,16357100,2024-12-23 02:08:32.342
2,0.1,16278290,2024-12-23 02:08:32.096
2,175.0,16201390,2024-12-23 01:54:16.692
2,0.1,16199490,2024-12-23 02:08:31.809
2,0.1,16120680,2024-12-23 02:08:31.557
1,0.1,15401940,2024-12-23 02:08:31.003
1,200.0,15378260,2024-12-23 01:54:16.148
1,15.0,14974900,2024-12-23 01:53:46.372
1,15.0,14816610,2024-12-23 01:53:46.668
1,15.0,14658320,2024-12-23 01:53:46.947
1,15.0,14500020,2024-12-23 01:53:47.237
1,15.0,14341730,2024-12-23 01:53:47.583
