side,qty,rate,time
2,10.0,13705320,2024-11-08 18:43:33.518
2,10.0,13451460,2024-11-08 18:43:33.202
2,20.0,13437480,2024-11-10 02:09:48.762
2,20.0,13427270,2024-11-10 02:09:48.168
2,20.0,13318460,2024-11-10 02:08:49.635
2,20.0,13318460,2024-11-10 02:08:49.051
2,20.0,13311430,2024-11-10 02:08:48.635
2,20.0,13311430,2024-11-10 02:08:49.329
2,10.0,13197610,2024-11-08 18:43:32.953
2,10.0,12943750,2024-11-08 18:43:32.628
1,20.0,12779820,2024-11-10 02:08:47.312
1,20.0,12769950,2024-11-10 02:08:47.960
1,20.0,12766240,2024-11-10 02:08:47.951
1,20.0,12756370,2024-11-10 02:08:48.464
1,20.0,12638930,2024-11-10 02:09:46.886
1,20.0,12638930,2024-11-10 02:09:47.520
1,10.0,12441810,2024-11-08 18:43:31.470
1,10.0,12187950,2024-11-08 18:43:31.737
1,10.0,11934100,2024-11-08 18:43:32.016
1,10.0,11680240,2024-11-08 18:43:32.309
1,40.0,11000000,2024-11-06 08:02:52.316
