side,qty,rate,time
2,18.0,248500,2023-11-08 00:39:05.910
2,12.0,227800,2023-11-08 00:39:05.654
2,6.0,215400,2023-11-08 00:39:05.394
2,6.0,214600,2023-11-08 00:38:58.148
2,6.0,213700,2023-11-08 00:38:57.932
2,6.0,212900,2023-11-08 00:38:57.718
2,6.0,212100,2023-11-08 00:38:57.493
2,6.0,211200,2023-11-08 00:38:57.225
2,6.0,210400,2023-11-08 00:38:56.846
1,6.0,204600,2023-11-08 01:43:44.700
1,6.0,203800,2023-11-08 00:38:58.377
1,6.0,203000,2023-11-08 00:38:58.605
1,6.0,202100,2023-11-08 00:38:58.824
1,6.0,201300,2023-11-08 00:38:59.034
1,6.0,200500,2023-11-08 00:38:59.252
1,6.0,199600,2023-11-08 00:38:59.467
1,6.0,198800,2023-11-08 00:38:59.682
1,12.0,186400,2023-11-08 00:38:59.889
1,18.0,165700,2023-11-08 00:39:00.091
