side,qty,rate,time
2,0.1,104498500,2025-01-13 02:18:22.567
2,0.1,104396790,2025-01-13 02:18:22.267
2,0.1,104295080,2025-01-13 02:18:21.970
2,0.1,104193360,2025-01-13 02:18:21.586
2,0.1,104091650,2025-01-13 02:18:21.265
2,0.1,103989940,2025-01-13 02:18:20.901
2,0.1,103888220,2025-01-13 02:18:20.634
2,0.1,103786510,2025-01-13 02:18:20.234
1,0.1,99640670,2025-01-13 02:18:17.464
1,0.1,99538960,2025-01-13 02:18:17.788
1,0.1,99437240,2025-01-13 02:18:18.050
1,0.1,99335530,2025-01-13 02:18:18.322
1,0.1,99233820,2025-01-13 02:18:18.605
1,0.1,99132100,2025-01-13 02:18:18.912
1,0.1,99030390,2025-01-13 02:18:19.248
1,0.1,98928680,2025-01-13 02:18:19.566
