side,qty,rate,time
2,1.0,107053770,2025-01-03 01:38:57.351
2,1.0,106553310,2025-01-03 01:38:56.867
2,1.0,106052840,2025-01-03 01:38:56.347
2,1.0,105552380,2025-01-03 01:38:55.878
2,1.0,105051920,2025-01-03 01:38:55.420
2,1.0,104551460,2025-01-03 01:38:54.991
2,1.0,104050990,2025-01-03 01:38:54.483
2,1.0,103550530,2025-01-03 01:38:54.022
2,1.0,103050070,2025-01-03 01:38:53.548
2,1.0,102549600,2025-01-03 01:38:53.058
2,1000.0,100900000,2024-12-13 06:33:59.144
2,875.0,100892220,2025-01-01 00:01:32.886
2,156.0,100780420,2024-12-18 12:59:34.843
1,875.0,99492220,2025-01-01 00:01:31.576
1,100.0,99100010,2024-12-28 22:10:30.561
1,2000.0,99100000,2024-12-09 01:55:54.336
1,1.0,97635520,2025-01-03 01:38:47.663
1,1.0,97135050,2025-01-03 01:38:48.154
1,1.0,96634590,2025-01-03 01:38:48.649
1,1.0,96134130,2025-01-03 01:38:49.202
1,1.0,95633660,2025-01-03 01:38:49.651
1,1.0,95133200,2025-01-03 01:38:50.138
1,1.0,94632740,2025-01-03 01:38:50.664
1,1.0,94132280,2025-01-03 01:38:51.134
1,1.0,93631810,2025-01-03 01:38:51.590
1,1.0,93131350,2025-01-03 01:38:52.039
