,addresses,last_update,pub_key,alias,color,is_reachable,fx,fy,geo_info.country_code,geo_info.country_name,geo_info.region_code,geo_info.region_name,geo_info.latitude,geo_info.longitude,outCount,outCapacity,inCount,inCapacity,chCount
44,"[{'network': 'tcp', 'addr': '45.63.21.56:9735'}]",1666671235,035367ba8ce27b52d1bcc6af833bb38b446e920b4b8e3ff6ee47e9a56a6b71fe54,dcrln-01.matheusd.com,#3399ff,True,393.49459100279466,130.2638675971651,US,United States,NJ,New Jersey,40.4131,-74.2372,9.0,68991802.0,29.0,1137257523.0,38.0
55,[],1666703987,03bd03386d7b2efe80ae46d6c8cfcfdfcf9c9297a465ac0d48c110d11ae58ed509,03bd03386d7b2efe80ae,#3399ff,False,330.6383415345255,522.4738796798044,,,,,,,10.0,56600000.0,20.0,583897490.0,30.0
64,"[{'network': 'tcp', 'addr': '51.68.214.224:9735'}]",1666728401,03ec729b8d558ce05455525577eec5872e104bd1ee52b69c744e7d61a6765fbc1c,jholdstock ⚡,#ff6600,True,514.0292342189267,167.54334488002658,GB,United Kingdom,ENG,England,51.504,-0.3609,1.0,40000000.0,13.0,494630969.0,14.0
58,"[{'network': 'tcp', 'addr': '95.216.110.66:9735'}]",1666673178,03cfb6f8ca8efa8fb940494c9af11532c6442736b86650fcb3a61e02883dc0d81d,ln.decredcommunity.org,#70cbff,False,483.1383685751942,270.8741999438122,FI,Finland,18,Uusimaa,60.1719,24.9347,4.0,291000000.0,9.0,167307068.0,13.0
63,[],1666680875,03ea6dfff9e1cb747ff426da64bc849b60788864e6ca5e5ac746245273ddd7042a,03ea6dfff9e1cb747ff4,#3399ff,False,443.60590428695366,200.66151744166862,,,,,,,1.0,9996310.0,7.0,65996782.0,8.0
52,"[{'network': 'tcp', 'addr': '103.212.120.137:9735'}]",1666746931,03aa05f777bf81c4c4c6e33d559235e0dd0ab4dd6046428e72c142a14f858934ba,in.decred.live,#41bf53,True,590.5270990844183,243.5516012277968,IN,India,,,22.0,79.0,5.0,294419040.0,2.0,364973064.0,7.0
60,"[{'network': 'tcp', 'addr': '82.165.108.160:9735'}]",1666749347,03d59c3acef408f54870b4f06d18007ca069c6c7bce913d36aae79219c8f46b9d3,watchtower.decred.live,#41bf53,True,581.8810377204165,174.1320669899792,DE,Germany,,,51.2993,9.491,1.0,200000000.0,6.0,1090000000.0,7.0
1,"[{'network': 'tcp', 'addr': '51.15.91.167:9735'}]",1660693449,0204380154466972338341f5a5b5814be7a96e35f2a76ab3a45fd0baee5bafbd00,El Gran Bisonte ⚡🐂⚡,#091440,True,497.9250888616438,217.11200032870826,NL,Netherlands,NH,North Holland,52.3759,4.8975,7.0,435496782.0,0.0,0.0,7.0
51,[],1666718472,0378f2ac061acbbc68d46241074cc658479923b01bd3adaf161b77270f8123d385,0378f2ac061acbbc68d4,#3399ff,False,239.99743584651924,518.3918528382701,,,,,,,1.0,100000000.0,5.0,23000000.0,6.0
38,"[{'network': 'tcp', 'addr': '108.170.31.106:9735'}]",1666709290,033c8d18df6a62acb3eda5d385a962ca3e34055d05421191ad4eeff58aefa06ed8,watchtower.decred.energy,#41bf53,True,530.2159890951783,101.90616151470515,US,United States,AZ,Arizona,33.4475,-112.0866,3.0,600000000.0,2.0,400000000.0,5.0
30,[],1666729766,02f90b47336316ee2d04a4801983299fdfa2fe671e5d187009998931b70e5211f6,02f90b47336316ee2d04,#3399ff,False,277.53846602850035,542.3668411225129,,,,,,,4.0,22000000.0,0.0,0.0,4.0
13,[],1613720061,026d68b7ca00f6857930da9f5e070b2feb2ca430b38d7dfc24c7a4132763938408,026d68b7ca00f6857930,#3399ff,False,400.41789245729046,62.60416407067692,,,,,,,4.0,16907447.0,0.0,0.0,4.0
56,[],1614748425,03c2865ebbe5b5e5dc38829d974a697c486eff535c13a68ad80fb0fc71f47e17eb,dcr.farm,#0088c6,False,400.1793128569079,208.3309087449976,,,,,,,2.0,20000000.0,1.0,1000000.0,3.0
46,[],1666722416,036058c64905e8cf7cb971ef0ecb4e73e037072de2dc72268f0a6f059541afa902,036058c64905e8cf7cb9,#3399ff,False,367.7746175062963,418.40716740355947,,,,,,,3.0,100000000.0,0.0,0.0,3.0
14,"[{'network': 'tcp', 'addr': '172.86.124.234:9735'}]",1596958725,027d489e4cfe55b8a10f29bf1a7cd779a827d90a94d3bb160e0772dc6316875bba,Let there be Guang,#7fffd4,False,299.49285201929615,121.56743488657307,US,United States,CA,California,34.0485,-118.2529,2.0,111856472.0,1.0,100000000.0,3.0
10,[],1666702103,02441c0826d264328eac5e70832b96f80dd9634d78a5b5e92b55dd44fc2f8d30a1,02441c0826d264328eac,#3399ff,False,248.9888371699993,492.18721639112147,,,,,,,2.0,2000000.0,1.0,1000000.0,3.0
7,[],1666695113,0221d5de42faf9b73facdde4048e945ed586e8f576f0613117d7e1f4a974812cd4,0221d5de42faf9b73fac,#3399ff,False,277.4390580464431,470.1383237266896,,,,,,,3.0,102000000.0,0.0,0.0,3.0
25,[],1603853786,02cbed0e514886256633bdde00d55f8be86a2fcd013b54b50649ba9c1363e1fdb7,02cbed0e514886256633,#3399ff,False,335.7260669259046,83.92733288768751,,,,,,,2.0,797490.0,0.0,0.0,2.0
37,[],0,0336c9b68f15d5dda93e9747c9dc64cb7f8dc56800bbe2d065f18789c39c1039e0,,#000000,False,524.6486140876535,272.3642703212881,,,,,,,1.0,595984.0,1.0,9000000.0,2.0
48,[],1666740927,0366033780fc72f864551f5b245a95620b2e539e54f8174023b7c4ce9b6ac3dccd,0366033780fc72f86455,#3399ff,False,261.3178636340828,570.7939961839999,,,,,,,2.0,110000000.0,0.0,0.0,2.0
39,"[{'network': 'tcp', 'addr': '82.223.23.73:9735'}]",1666735012,0340b65798a6bf46af88dfc20b70eccb100793cc0d704b2b487a67bfdee1ae7f7c,es.decred.live,#41bf53,True,589.8397239101963,94.31451508121344,ES,Spain,,,40.4172,-3.684,1.0,200000000.0,1.0,200000000.0,2.0
45,[],1666734260,035663029fb750ae3ae4c10a01f80df01547040397599868c2fd6e9a00bbf252c8,035663029fb750ae3ae4,#3399ff,False,251.9726550075095,553.1300072175322,,,,,,,2.0,11000000.0,0.0,0.0,2.0
41,[],1643264887,034585e47c97c3fa4fccd29e07edfcb8ea39b20f00e5e414033cb9f26a9beb79b9,034585e47c97c3fa4fcc,#3399ff,False,524.7253960882261,230.390361272095,,,,,,,2.0,65268574.0,0.0,0.0,2.0
53,[],1605108923,03b26127f373dac33a985484653141f7b452e823431671462b12acd82e109a1e9d,03b26127f373dac33a98,#3399ff,False,390.9109460449376,171.80715786908493,,,,,,,0.0,0.0,2.0,7994312.0,2.0
4,[],1659615174,021b2459b6ee500f5497fe9c54af0ad00d87c0d2973254c01cd02acb4e67865d7c,021b2459b6ee500f5497,#3399ff,False,294.1974275323685,86.59857446318078,,,,,,,2.0,200000000.0,0.0,0.0,2.0
0,"[{'network': 'tcp', 'addr': '198.211.53.68:9735'}]",1582124555,020095fe38f507de2160efd20a1ce0754a6b26c532efc2f32d25dd2b4a3811f69a,01_chinese_ln.dcrclub.org,#ffff00,False,327.49399121425563,131.02316657705848,US,United States,,,37.751,-97.822,2.0,35000000.0,0.0,0.0,2.0
67,[],1664482901,03f3807a1eaa8f76e6ce76ba666d8399db127c49523b2990db8328842cc1828668,03f3807a1eaa8f76e6ce,#3399ff,False,315.9820441876994,464.4673100442223,,,,,,,0.0,0.0,2.0,2000000.0,2.0
66,"[{'network': 'tcp', 'addr': '18.230.115.229:9735'}]",1641762028,03f2c91b29337de58a95ca90165b13a10e46e83b621cdf660ea30deeff127d44d1,Liq-BR,#009c3b,False,456.2432164086223,151.0497270958604,BR,Brazil,SP,Sao Paulo,-23.5335,-46.6359,0.0,0.0,2.0,70000000.0,2.0
8,"[{'network': 'tcp', 'addr': '77.68.30.82:9735'}]",1666671135,022c41a397814c015510e25161842475b3666efbdee2645399359bb135bd0abc9f,uk.decred.live,#41bf53,True,600.863284904424,112.22165168725094,GB,United Kingdom,ENG,England,53.5866,-2.4354,2.0,400000000.0,0.0,0.0,2.0
11,[],1611599533,025a0021382d8263551423f783fe931c03b13dd215ea9ed8eac91f9d81f99d1775,025a0021382d82635514,#3399ff,False,467.23469581517685,111.96483531302017,,,,,,,2.0,4552294.0,0.0,0.0,2.0
15,"[{'network': 'tcp', 'addr': '51.159.183.72:9735'}]",1666719320,0282df350084f7bb5ec5ee22690eab23378ea0278a73806e997c4be6ac8fa13c96,⚡decred.lighting⚡,#ffa500,True,462.4189393235977,130.97481640241725,FR,France,IDF,Île-de-France,48.8323,2.4075,2.0,180145984.0,0.0,0.0,2.0
62,[],1666725950,03dcb813ed46de74aa2cf1c36e49ddbeb58f87feb282b0edc9fd4c0d1b06c7ccf3,03dcb813ed46de74aa2c,#3399ff,False,351.76910549417005,488.1664332693184,,,,,,,0.0,0.0,1.0,7500000.0,1.0
65,[],1666723739,03ef9151fd59266e87374dcaa57293118a10bf84eaa8695f6345258b8b6db314c2,03ef9151fd59266e8737,#3399ff,False,395.8666597018886,525.4650655314724,,,,,,,0.0,0.0,1.0,10000000.0,1.0
68,[],1666712899,03f65fadbbcede3f83c9f5c794ae9fdc3c568bf89f90721b5046fa6781d9bd3320,03f65fadbbcede3f83c9,#3399ff,False,391.90733958884005,543.8895065193054,,,,,,,0.0,0.0,1.0,10000000.0,1.0
69,[],1663272446,03f94a7237adc3caf0479403a66aacbff9d0e70c1a4ad4631e8e5aeab982eba2f0,03f94a7237adc3caf047,#3399ff,False,307.4845278502781,582.4829721229204,,,,,,,0.0,0.0,1.0,2000000.0,1.0
54,[],1648210834,03b40d974404d0077e35eb189f99aa407476245d97676576cefa723f04f8a1b8b3,03b40d974404d0077e35,#3399ff,False,639.5322784461235,225.38717373984915,,,,,,,0.0,0.0,1.0,10000000.0,1.0
61,[],1666385204,03dbfea1df6521b7e455e3bf0d42efda4e45ef5363c44684843f6556f2d9f005fc,03dbfea1df6521b7e455,#3399ff,False,350.8045617534037,588.0918203568486,,,,,,,0.0,0.0,1.0,1000000.0,1.0
49,[],1664969861,036fa0dcbeb7d0e2947a7e9a3128d4a44d9af5b00daf9ca0a6c0724f4da4c1cbe9,036fa0dcbeb7d0e2947a,#3399ff,False,386.56776187871304,504.1216099303581,,,,,,,1.0,12000000.0,0.0,0.0,1.0
50,[],0,037603c8c2cdedb9f9f188f046cc0686fa8a0dafb89395106e6dcea659c1d9445e,,#000000,False,370.4234405545539,563.6621550321888,,,,,,,1.0,19000000.0,0.0,0.0,1.0
59,[],1666630590,03d46298025517ec002aad743229c4ad0a64614b2eee76a003b4d5c82a436b0334,03d46298025517ec002a,#3399ff,False,316.5345449608015,564.2401239404817,,,,,,,0.0,0.0,1.0,10000000.0,1.0
43,[],1663248847,0349304a72d071eb013b2ed7c3f1236dcb5572855495d48c61250dbd3907a2d95a,0349304a72d071eb013b,#3399ff,False,297.17377160342886,560.2199256102724,,,,,,,1.0,5000000.0,0.0,0.0,1.0
57,[],1666706146,03cb062dac8aff95cbeb07250f985fe03cac99c230c1d0c8c195a2f9154d87b06a,03cb062dac8aff95cbeb,#3399ff,False,370.4808361570874,489.67245022423714,,,,,,,0.0,0.0,1.0,100000.0,1.0
47,[],1612114862,036527574e74b3d12ec4875d4d8004a6c35a01bd18fe87c21fd4d98be3572ad83e,036527574e74b3d12ec4,#3399ff,False,546.2907749435794,128.11593404034545,,,,,,,1.0,3735304.0,0.0,0.0,1.0
35,[],1666718881,0318fe468a8bd7374b49c3f8f3bdc4c68ef670d0982ad54dad84bea5304b6f39df,0318fe468a8bd7374b49,#3399ff,False,328.38307864449894,591.1623477742723,,,,,,,1.0,10000000.0,0.0,0.0,1.0
42,[],1577142378,0345fec5df0f7e01bd93654527440978cf22253d710a31f070f6781c766ec77a56,0345fec5df0f7e01bd93,#3399ff,False,367.06931515956694,101.71468118613208,,,,,,,1.0,1000000.0,0.0,0.0,1.0
21,[],1666679199,02a8ab29bfe954e1471311644e0aca2a14f29766d0c11611583944302a11adb435,02a8ab29bfe954e14713,#3399ff,False,389.8333890041769,563.4997961704835,,,,,,,1.0,9900000.0,0.0,0.0,1.0
2,[],1603489846,020708d8c236de95d5d08da5de9c322a223cd4ac32737853bcf81fb00c86b458cf,020708d8c236de95d5d0,#3399ff,False,330.21735290821886,151.94578671239992,,,,,,,1.0,200000000.0,0.0,0.0,1.0
3,"[{'network': 'tcp', 'addr': '155.94.145.73:9735'}]",1583307408,02180199394a6eedb2e2eef6bb03a7906717882262fc28e3d35f02ca67b368ac8b,02_chinese_ln.dcrclub.org,#daa520,False,349.1434110934589,122.41863922474326,US,United States,CA,California,34.0485,-118.2529,1.0,10000000.0,0.0,0.0,1.0
5,[],1613278657,021c3fe413817e2ee373c62e11467a0b6a82b54db8921eeea23e5b64068cac4e1d,021c3fe413817e2ee373,#3399ff,False,396.15256971046296,85.06559785083165,,,,,,,1.0,135463.0,0.0,0.0,1.0
6,[],1578495091,021c520381872f1e45595be898fbc01a23f13e168ca28f769a742e4ee48aa5f81b,021c520381872f1e4559,#3399ff,False,342.50724061284353,169.59726464206275,,,,,,,1.0,50000.0,0.0,0.0,1.0
9,[],1629039713,0234e6d122eb971173180323d93790ebf9e2ff0de8a557650e10c67633e6153fbe,0234e6d122eb97117318,#3399ff,False,360.6962113755896,160.9146447224766,,,,,,,1.0,29988450.0,0.0,0.0,1.0
12,[],1659485052,025def74af01770d06751aadc710f421b77a69f80bd5f8919f4aa3f51728307d8d,025def74af01770d0675,#3399ff,False,367.7697073884094,178.23611403813325,,,,,,,1.0,20000000.0,0.0,0.0,1.0
16,"[{'network': 'tcp', 'addr': '35.206.206.203:9735'}]",1666749806,0288d937d6e6b2265b4ccca0ecbb96d7e4e21d5c73dec97d42ef0b5d92903ea1ba,1.base.dcrlnd,#ffff46,,632.5344125604977,269.72414515120164,,,,,,,1.0,359973064.0,0.0,0.0,1.0
