,last_update,pub_key,alias,addresses,color,features.0.name,features.0.is_required,features.0.is_known,features.5.name,features.5.is_required,features.5.is_known,features.7.name,features.7.is_required,features.7.is_known,features.9.name,features.9.is_required,features.9.is_known,features.13.name,features.13.is_required,features.13.is_known,features.15.name,features.15.is_required,features.15.is_known,features.17.name,features.17.is_required,features.17.is_known,outCount,outCapacity,inCount,inCapacity,chCount
12,1666728401,03ec729b8d558ce05455525577eec5872e104bd1ee52b69c744e7d61a6765fbc1c,jholdstock ⚡,"[{'network': 'tcp', 'addr': '51.68.214.224:9735'}]",#ff6600,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,1.0,40000000.0,4.0,27047598.0,5.0
13,1641762028,03f2c91b29337de58a95ca90165b13a10e46e83b621cdf660ea30deeff127d44d1,Liq-BR,"[{'network': 'tcp', 'addr': '18.230.115.229:9735'}]",#009c3b,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,0.0,0.0,4.0,162947553.0,4.0
10,1612114862,036527574e74b3d12ec4875d4d8004a6c35a01bd18fe87c21fd4d98be3572ad83e,036527574e74b3d12ec4,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,2.0,4329986.0,0.0,0.0,2.0
0,1678887944,0204380154466972338341f5a5b5814be7a96e35f2a76ab3a45fd0baee5bafbd00,El Gran Bisonte ⚡🐂⚡,"[{'network': 'tcp', 'addr': '51.15.91.167:9735'}]",#091440,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,1.0,1000000.0,0.0,0.0,1.0
1,1659615174,021b2459b6ee500f5497fe9c54af0ad00d87c0d2973254c01cd02acb4e67865d7c,021b2459b6ee500f5497,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,1.0,100000000.0,0.0,0.0,1.0
2,1678880461,02474eca009675327264a9e8c349a9b8e361049fd809244a048afb1d2411ffe98b,02474eca009675327264,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,1.0,1000000.0,0.0,0.0,1.0
3,1611599533,025a0021382d8263551423f783fe931c03b13dd215ea9ed8eac91f9d81f99d1775,025a0021382d82635514,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,1.0,2154804.0,0.0,0.0,1.0
4,1596958725,027d489e4cfe55b8a10f29bf1a7cd779a827d90a94d3bb160e0772dc6316875bba,Let there be Guang,"[{'network': 'tcp', 'addr': '172.86.124.234:9735'}]",#7fffd4,,,,,,,,,,tlv-onion,False,True,static-remote-key,False,True,,,,,,,0.0,0.0,1.0,100000000.0,1.0
5,1671770674,02942be3f075e3756758676b812edd01d0489590794fad326c5b61bbca742d8b8c,02942be3f075e3756758,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,1.0,119356887.0,0.0,0.0,1.0
6,1619945829,02e854b2d824a06ac691a198787ee7904a48683e0ba4eba407b533e457c820f799,02e854b2d824a06ac691,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,1.0,2995984.0,0.0,0.0,1.0
7,0,030a560935cd5d27ade70c7d45d61c46a5cccaacbf26ecfe26886755c622f72fce,,[],#000000,,,,,,,,,,,,,,,,,,,,,,1.0,21100000.0,0.0,0.0,1.0
8,1643264887,034585e47c97c3fa4fccd29e07edfcb8ea39b20f00e5e414033cb9f26a9beb79b9,034585e47c97c3fa4fcc,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,1.0,57490.0,0.0,0.0,1.0
9,1678815913,0362c993b027256a45333ac664f112fd78bb9e730acae0b315782638b48bdd68ca,0362c993b027256a4533,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,0.0,0.0,1.0,1000000.0,1.0
11,1678895171,03bd03386d7b2efe80ae46d6c8cfcfdfcf9c9297a465ac0d48c110d11ae58ed509,03bd03386d7b2efe80ae,"[{'network': 'tcp', 'addr': '45.32.162.169:9735'}, {'network': 'tcp', 'addr': '[2001:19f0:9002:617:5400:4ff:fe40:5353]:9735'}]",#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,0.0,0.0,1.0,1000000.0,1.0
