,last_update,pub_key,alias,addresses,color,features.0.name,features.0.is_required,features.0.is_known,features.5.name,features.5.is_required,features.5.is_known,features.7.name,features.7.is_required,features.7.is_known,features.9.name,features.9.is_required,features.9.is_known,features.12.name,features.12.is_required,features.12.is_known,features.14.name,features.14.is_required,features.14.is_known,features.17.name,features.17.is_required,features.17.is_known,features.31.name,features.31.is_required,features.31.is_known,features.13.name,features.13.is_required,features.13.is_known,features.15.name,features.15.is_required,features.15.is_known,features.45.name,features.45.is_required,features.45.is_known,outCount,outCapacity,inCount,inCapacity,chCount
187,1711842875,03bd03386d7b2efe80ae46d6c8cfcfdfcf9c9297a465ac0d48c110d11ae58ed509,hub0.bisonrelay.org,"[{'network': 'tcp', 'addr': '45.32.162.169:9735'}, {'network': 'tcp', 'addr': '[2001:19f0:9002:617:5400:4ff:fe40:5353]:9735'}]",#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,True,True,payment-addr,True,True,multi-path-payments,False,True,unknown,False,False,,,,,,,unknown,False,False,43.0,557035150.0,216.0,5922370175.0,259.0
168,1711462408,0378f2ac061acbbc68d46241074cc658479923b01bd3adaf161b77270f8123d385,lp0.bisonrelay.org,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,True,True,payment-addr,True,True,multi-path-payments,False,True,unknown,False,False,,,,,,,unknown,False,False,42.0,3382144600.0,86.0,5458332499.0,128.0
184,1711637952,03b3db734a1b7b9a33fa47854a934422a04e463eafcfb69c31157b7e88428eb88e,dhill,"[{'network': 'tcp', 'addr': '97.91.13.35:9735'}, {'network': 'tcp', 'addr': '[2001:470:c175:10::5]:9735'}]",#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,True,True,payment-addr,True,True,multi-path-payments,False,True,unknown,False,False,,,,,,,unknown,False,False,4.0,504500000.0,14.0,1411900000.0,18.0
91,1711820033,02c40ba38409c6ae0b895ea9741e9eb07be8e1cd2504580f221127e7b6e3340e83,⚡ln.dcrhive.com⚡,"[{'network': 'tcp', 'addr': '51.75.161.171:9735'}]",#a333ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,8.0,1750001998.0,5.0,766003140.0,13.0
152,1711814374,035367ba8ce27b52d1bcc6af833bb38b446e920b4b8e3ff6ee47e9a56a6b71fe54,dcrln-01.matheusd.com,"[{'network': 'tcp', 'addr': '45.63.21.56:9735'}]",#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,True,True,payment-addr,True,True,multi-path-payments,False,True,unknown,False,False,,,,,,,unknown,False,False,6.0,720397490.0,6.0,1089998822.0,12.0
17,1711637378,0221d5de42faf9b73facdde4048e945ed586e8f576f0613117d7e1f4a974812cd4,br00.bisonrelay.org,"[{'network': 'tcp', 'addr': '45.77.195.239:9735'}, {'network': 'tcp', 'addr': '[2001:19f0:9003:77c:5400:4ff:fe44:35b0]:9735'}]",#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,True,True,payment-addr,True,True,multi-path-payments,False,True,unknown,False,False,,,,,,,unknown,False,False,10.0,1351000000.0,0.0,0.0,10.0
120,1709690023,02f1a8b8d244d4ab76a4de2d533d1226c24457a862933db2ef11de2cb68b9c7b9e,02f1a8b8d244d4ab76a4,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,True,True,payment-addr,True,True,multi-path-payments,False,True,unknown,False,False,,,,,,,,,,6.0,18000000.0,1.0,1000000.0,7.0
176,1699388675,039ab1a7e8a34c252c6a75b923c85d5f2cd5d53bdcc86638809ccfa8e8a1e07ed3,039ab1a7e8a34c252c6a,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,True,True,payment-addr,True,True,multi-path-payments,False,True,,,,,,,,,,,,,4.0,68000000.0,3.0,64000000.0,7.0
214,1666728401,03ec729b8d558ce05455525577eec5872e104bd1ee52b69c744e7d61a6765fbc1c,jholdstock ⚡,"[{'network': 'tcp', 'addr': '51.68.214.224:9735'}]",#ff6600,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,1.0,40000000.0,6.0,236045088.0,7.0
49,1697480661,026296f7990275e61ff204070490b501f85d4d4b8bf70e6a1a23beef8b132287fb,026296f7990275e61ff2,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,True,True,payment-addr,True,True,multi-path-payments,False,True,,,,,,,,,,,,,6.0,39000000.0,0.0,0.0,6.0
43,1711704058,02523239b1b281c8afaf80eac4385b4163a30017e17433d2e550511e4bbb6b75e0,02523239b1b281c8afaf,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,True,True,payment-addr,True,True,multi-path-payments,False,True,,,,,,,,,,,,,6.0,300000000.0,0.0,0.0,6.0
