date,countLNNodes
2022-11-28,68
2022-11-29,68
2022-11-30,68
2022-12-01,68
2022-12-02,68
2022-12-03,68
2022-12-04,68
2022-12-05,68
2022-12-06,68
2022-12-07,68
2022-12-08,68
2022-12-09,68
2022-12-10,52
2022-12-11,14
2022-12-12,14
2022-12-13,14
2022-12-14,14
2022-12-15,14
2022-12-16,14
2022-12-17,41
2022-12-18,89
2022-12-19,105
2022-12-20,109
2022-12-21,110
2022-12-22,114
2022-12-23,116
2022-12-24,121
2022-12-25,121
2022-12-26,122
2022-12-27,123
2022-12-28,124
2022-12-29,124
2022-12-30,124
2022-12-31,124
2023-01-01,125
2023-01-02,125
2023-01-03,128
2023-01-04,128
2023-01-05,128
2023-01-06,129
2023-01-07,130
2023-01-08,132
2023-01-09,134
2023-01-10,133
2023-01-11,134
2023-01-12,134
2023-01-13,134
2023-01-14,134
2023-01-15,134
2023-01-16,134
2023-01-17,137
2023-01-18,138
2023-01-19,138
2023-01-20,137
2023-01-21,137
2023-01-22,138
2023-01-23,140
2023-01-24,140
2023-01-25,141
2023-01-26,144
2023-01-27,145
2023-01-28,145
2023-01-29,146
2023-01-30,146
2023-01-31,146
2023-02-01,146
2023-02-02,147
2023-02-03,146
2023-02-04,146
2023-02-05,146
2023-02-06,147
2023-02-07,147
2023-02-08,147
2023-02-09,148
2023-02-10,148
2023-02-11,150
2023-02-12,150
2023-02-13,150
2023-02-14,150
2023-02-15,151
2023-02-16,150
2023-02-17,150
2023-02-18,152
2023-02-19,152
2023-02-20,153
2023-02-21,152
2023-02-22,154
2023-02-23,154
2023-02-24,154
2023-02-25,154
2023-02-26,155
2023-02-27,156
2023-02-28,157
2023-03-01,158
2023-03-02,158
2023-03-03,159
2023-03-04,162
2023-03-05,161
2023-03-06,163
2023-03-07,163
2023-03-08,163
2023-03-09,163
