date,1.4.0,1.5.1,1.6.0,1.6.0 dev builds,1.6.0 rc4,1.6.1,1.6.2,1.7.0,1.7.1,1.7.2,1.7.4,1.7.5,1.7.7,1.8.0,1.8.0 dev builds,1.8.1,1.9.0 dev builds,2.0.0,2.0.1,2.0.2,2.0.3,2.0.4,2.1.0 dev builds
2022-09-19,0,1,0,0,0,1,2,7,28,28,8,0,0,0,1,0,0,0,0,0,0,0,0
2022-09-20,1,1,0,0,0,1,2,9,32,28,8,0,0,0,1,0,0,0,0,0,0,0,0
2022-09-21,1,1,0,0,0,3,0,9,34,31,10,0,0,0,1,0,0,0,0,0,0,0,0
2022-09-22,1,1,0,0,0,3,0,8,32,31,8,0,0,0,1,0,0,0,0,0,0,0,0
2022-09-23,1,1,1,0,0,3,0,8,33,31,10,0,0,0,1,0,0,0,0,0,0,0,0
2022-09-24,1,1,1,0,0,3,0,11,34,33,10,0,0,0,1,0,0,0,0,0,0,0,0
2022-09-25,1,1,1,0,0,3,0,11,35,35,9,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-26,1,1,1,0,0,3,0,9,36,34,9,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-27,1,1,0,0,0,3,0,9,38,35,11,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-28,1,1,1,0,0,3,0,10,35,30,7,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-29,1,2,1,2,0,3,0,11,39,31,12,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-30,1,2,1,2,0,3,0,11,41,31,15,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-01,1,2,1,2,0,3,1,12,45,34,17,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-02,1,2,1,2,0,3,0,12,44,33,17,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-03,1,2,1,3,0,3,1,13,45,33,18,0,0,0,1,0,0,0,0,0,0,0,0
2022-10-04,1,1,1,3,0,3,0,9,39,32,16,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-05,1,1,1,3,0,3,1,10,40,33,15,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-06,1,2,1,4,0,3,1,11,41,35,16,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-07,0,2,1,4,1,3,1,11,38,32,18,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-08,1,2,1,4,1,3,1,11,38,33,18,0,0,0,1,0,0,0,0,0,0,0,0
2022-10-09,1,2,1,4,1,3,1,10,42,31,19,0,0,0,1,0,0,0,0,0,0,0,0
2022-10-10,1,2,1,3,1,3,1,9,39,31,19,0,0,0,2,0,0,0,0,0,0,0,0
2022-10-11,1,2,1,4,1,3,1,11,40,33,19,4,0,0,2,0,0,0,0,0,0,0,0
2022-10-12,1,1,1,4,1,3,1,15,44,33,17,7,0,0,2,0,0,0,0,0,0,0,0
2022-10-13,1,1,2,4,1,3,2,14,44,33,16,9,0,0,2,0,0,0,0,0,0,0,0
2022-10-14,1,1,2,4,1,3,2,15,44,33,16,9,0,0,2,0,0,0,0,0,0,0,0
2022-10-15,1,1,2,4,1,3,2,15,43,33,15,10,0,0,2,0,0,0,0,0,0,0,0
2022-10-16,1,1,2,4,1,3,2,16,40,30,15,13,0,0,2,0,0,0,0,0,0,0,0
2022-10-17,1,1,2,4,1,3,2,12,38,28,15,14,0,0,2,0,0,0,0,0,0,0,0
2022-10-18,1,1,2,4,1,3,2,11,35,29,13,16,0,0,2,0,0,0,0,0,0,0,0
2022-10-19,1,1,3,4,1,3,2,15,35,28,11,19,0,0,6,0,0,0,0,0,0,0,0
2022-10-20,1,2,3,4,1,3,2,17,41,29,18,19,0,0,6,0,0,0,0,0,0,0,0
2022-10-21,3,2,3,4,1,3,2,16,42,26,17,22,0,0,6,0,0,0,0,0,0,0,0
2022-10-22,3,2,3,4,1,3,2,18,42,26,18,31,0,0,6,0,0,0,0,0,0,0,0
2022-10-23,3,2,3,4,1,3,2,18,42,26,18,31,0,0,6,0,0,0,0,0,0,0,0
2022-10-24,3,2,3,4,1,3,2,18,42,26,18,32,0,0,6,0,0,0,0,0,0,0,0
2022-10-25,3,2,3,4,1,3,2,18,42,25,16,32,0,0,6,0,0,0,0,0,0,0,0
2022-10-26,1,2,3,4,1,3,2,18,40,25,16,33,0,0,6,0,0,0,0,0,0,0,0
2022-10-28,0,1,3,4,1,3,2,15,41,25,16,31,0,0,5,0,0,0,0,0,0,0,0
2022-10-29,1,2,3,4,1,3,2,15,41,25,18,34,0,0,6,0,0,0,0,0,0,0,0
2022-10-30,1,2,3,4,1,3,2,16,39,26,16,34,0,0,6,0,0,0,0,0,0,0,0
2022-10-31,1,2,3,4,1,3,2,16,39,26,16,34,0,0,6,0,0,0,0,0,0,0,0
2022-11-01,3,1,3,4,1,3,2,16,42,24,16,36,0,0,6,0,0,0,0,0,0,0,0
2022-11-02,3,2,3,4,1,3,1,16,42,25,16,36,0,0,6,0,0,0,0,0,0,0,0
2022-11-03,3,2,1,4,1,3,0,16,42,24,19,36,0,0,6,0,0,0,0,0,0,0,0
2022-11-04,3,2,1,4,1,3,0,16,44,24,19,36,0,0,6,0,0,0,0,0,0,0,0
2022-11-05,3,2,1,4,1,3,0,16,43,25,20,36,0,0,6,0,0,0,0,0,0,0,0
2022-11-06,3,2,1,4,1,1,0,17,45,24,20,36,0,0,6,0,0,0,0,0,0,0,0
2022-11-07,3,2,1,4,1,1,0,18,47,24,20,36,0,0,6,0,0,0,0,0,0,0,0
2022-11-08,3,2,1,4,1,1,1,19,47,24,7,36,0,0,23,0,0,0,0,0,0,0,0
2022-11-09,3,2,1,4,1,1,1,19,42,26,8,35,0,0,23,0,0,0,0,0,0,0,0
2022-11-10,3,2,1,4,1,1,1,19,42,25,7,31,0,0,23,0,0,0,0,0,0,0,0
2022-11-11,3,2,1,4,1,1,1,17,42,26,7,26,0,0,23,0,0,0,0,0,0,0,0
2022-11-12,3,2,1,4,1,1,1,16,41,24,7,26,0,0,23,0,0,0,0,0,0,0,0
2022-11-13,3,1,1,4,1,1,1,16,38,24,7,27,0,0,23,0,0,0,0,0,0,0,0
2022-11-14,3,1,1,4,0,1,1,17,37,24,7,26,0,0,23,0,0,0,0,0,0,0,0
2022-11-15,1,1,1,4,0,1,1,15,37,24,7,25,0,0,23,0,0,0,0,0,0,0,0
2022-11-16,1,2,1,4,0,1,1,14,37,25,6,26,0,0,23,0,0,0,0,0,0,0,0
2022-11-17,3,2,1,4,0,1,0,14,40,24,6,26,0,0,23,0,0,0,0,0,0,0,0
2022-11-18,3,1,1,4,0,1,1,12,37,23,5,22,0,0,20,0,0,0,0,0,0,0,0
2022-11-19,3,1,1,4,0,1,1,14,39,24,5,25,0,0,21,0,0,0,0,0,0,0,0
2022-11-20,3,1,1,4,0,1,1,13,38,20,5,25,0,0,21,0,0,0,0,0,0,0,0
2022-11-21,1,1,1,2,0,1,1,12,30,16,5,22,0,0,21,0,0,0,0,0,0,0,0
2022-11-22,3,1,1,2,0,1,1,14,30,16,5,21,0,0,21,0,0,0,0,0,0,0,0
2022-11-23,3,1,1,4,0,1,1,14,30,17,5,21,0,0,21,0,0,0,0,0,0,0,0
2022-11-24,3,1,1,4,0,1,1,14,33,17,6,18,0,0,21,0,0,0,0,0,0,0,0
2022-11-25,3,1,1,4,0,1,1,11,31,17,6,21,0,0,21,0,0,0,0,0,0,0,0
2022-11-26,3,1,1,4,0,0,1,10,31,17,6,20,0,0,19,0,0,0,0,0,0,0,0
2022-11-27,3,1,1,4,0,1,1,10,30,16,6,19,0,0,19,0,0,0,0,0,0,0,0
2022-11-28,3,1,1,4,0,1,1,10,30,13,6,21,0,0,19,0,0,0,0,0,0,0,0
