id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,vspdversion
123.dcr.rocks,mainnet,2021-04-28,2022-08-20 03:04:49,[3],0.49,False,854,15456,94,1.1.0
big.decred.energy,mainnet,2022-05-01,2022-08-20 03:04:49,[3],0.6900000000000001,False,113,306,0,1.1.1
dcrhive.com,mainnet,2022-06-23,2022-08-20 03:04:49,[3],0.666,False,45,39,0,1.1.1
dcrpool.ibitlin.com,mainnet,2021-01-13,2022-08-20 03:04:50,[3],1,False,55,1116,8,1.1.0-pre
dcrvsp.dittrex.com,mainnet,2021-04-07,2022-08-20 03:04:49,[3],1,False,23,372,1,1.2.0-pre
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2022-08-20 03:04:49,[3],0.9500000000000001,False,238,6148,33,1.1.1
decredvoting.com,mainnet,2021-02-01,2022-08-20 03:04:49,[3],1,False,113,2584,16,1.1.1
stakey.net,mainnet,2020-10-22,2022-08-20 03:04:49,[3],1,False,327,24778,176,1.1.1
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2022-08-20 03:04:49,[3],10,False,0,73412,668,1.1.0-pre
teststakepool.decred.org,testnet,2020-06-01,2022-08-20 03:04:49,[3],3,False,3,213714,1024,1.1.1
ultravsp.uk,mainnet,2020-12-01,2022-08-20 03:04:49,[3],0.30000000000000004,False,514,4594,13,1.1.1
vsp.coinmine.pl,mainnet,2021-01-28,2022-08-20 03:04:49,[3],0.5,False,322,25390,154,1.1.1
vsp.dcr.farm,mainnet,2020-12-09,2022-08-20 03:04:49,[3],0.9500000000000001,False,131,4985,23,1.1.0
vsp.decredcommunity.org,mainnet,2020-11-05,2022-08-20 03:04:49,[3],0.49,False,321,3249,10,1.1.1
vsp.stakeminer.com,mainnet,2020-11-09,2022-08-20 03:04:49,[3],1,False,676,18066,97,1.1.1
vspd-testnet.synergy-crypto.net,testnet,2021-05-01,2022-08-20 03:04:49,[3],1,False,0,66,2,1.1.1
vspd.99split.com,mainnet,2020-11-17,2022-08-20 03:04:49,[3],0.30000000000000004,False,807,5839,24,1.1.1
vspd.bass.cf,mainnet,2022-05-01,2022-08-20 03:04:50,[3],0.2,False,163,77,0,1.1.1
vspd.decredbrasil.com,mainnet,2020-11-22,2022-08-20 03:04:49,[3],5,False,92,1531,11,1.1.1
vspd.stakey.com,mainnet,2021-02-13,2022-08-20 03:04:49,[3],0.30000000000000004,False,2055,18206,84,1.1.0
vspd.synergy-crypto.net,mainnet,2021-06-10,2022-08-20 03:04:49,[3],0.75,True,271,622,3,1.1.1
