id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,vspdversion
123.dcr.rocks,mainnet,2021-04-28,2022-11-10 02:54:49,[3],0.49,False,687,17407,107,1.1.0
big.decred.energy,mainnet,2022-05-01,2022-11-10 02:54:49,[3],0.6900000000000001,False,196,781,1,1.1.1
dcrhive.com,mainnet,2022-06-23,2022-11-10 02:54:49,[3],0.666,False,159,379,0,1.1.1
dcrpool.ibitlin.com,mainnet,2021-01-13,2022-11-10 02:54:49,[3],1,False,3,1175,9,1.1.0-pre
dcrvsp.dittrex.com,mainnet,2021-04-07,2022-11-10 02:54:49,[3],1,False,27,453,2,1.2.0-pre
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2022-11-10 02:54:49,[3],0.9500000000000001,False,237,6848,38,1.1.1
decredvoting.com,mainnet,2021-02-01,2022-11-10 02:54:49,[3],1,False,114,2895,23,1.1.1
stakey.net,mainnet,2020-10-22,2022-11-10 02:54:49,[3],1,False,266,25578,185,1.1.1
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2022-10-26 08:34:56,[3],10,False,0,73412,668,1.1.0-pre
teststakepool.decred.org,testnet,2020-06-01,2022-11-10 02:54:49,[3],3,False,0,213734,1025,1.1.1
ultravsp.uk,mainnet,2020-12-01,2022-11-10 02:54:49,[3],0.30000000000000004,False,577,6466,22,1.1.1
vsp.coinmine.pl,mainnet,2021-01-28,2022-11-10 02:54:49,[3],0.5,False,278,26207,164,1.1.1
vsp.dcr.farm,mainnet,2020-12-09,2022-11-10 02:54:49,[3],0.9500000000000001,False,192,5522,33,1.1.0
vsp.decredcommunity.org,mainnet,2020-11-05,2022-11-10 02:54:49,[3],0.49,False,640,4442,13,1.1.1
vsp.stakeminer.com,mainnet,2020-11-09,2022-11-10 02:54:49,[3],1,False,667,19888,107,1.1.1
vspd-testnet.synergy-crypto.net,testnet,2021-05-01,2022-10-20 08:14:55,[3],1,True,0,68,2,1.1.1
vspd.99split.com,mainnet,2020-11-17,2022-11-10 02:54:49,[3],0.30000000000000004,False,1542,8678,36,1.1.1
vspd.bass.cf,mainnet,2022-05-01,2022-11-10 02:54:49,[3],0.2,False,1038,2087,9,1.1.1
vspd.decredbrasil.com,mainnet,2020-11-22,2022-11-10 02:54:49,[3],5,False,78,1769,12,1.1.1
vspd.stakey.com,mainnet,2021-02-13,2022-10-03 23:19:55,[3],0.30000000000000004,False,1332,21042,101,1.1.0
vspd.synergy-crypto.net,mainnet,2021-06-10,2022-11-08 07:59:49,[3],0.75,True,12,881,3,1.1.1
