id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,vspdversion,blockheight,estimatednetworkproportion
123.dcr.rocks,mainnet,2021-04-28,2023-02-27 02:16:45,[3],0.49,False,481,19710,122,1.1.0,741680,0.011863069
big.decred.energy,mainnet,2022-05-01,2023-02-27 02:16:46,[3],0.49,False,294,1847,3,1.1.1,741680,0.0072510233
dcrhive.com,mainnet,2022-06-23,2023-02-27 02:16:45,[3],0.1,False,851,1584,4,1.1.1,741680,0.020988507
dcrpool.ibitlin.com,mainnet,2021-01-13,2023-02-27 02:16:47,[3],1,False,4,1198,9,1.1.0-pre,741680,9.865337999999999e-05
dcrvsp.dittrex.com,mainnet,2021-04-07,2023-02-27 02:16:46,[3],5,False,7,501,2,1.2.0-pre,741680,0.00017264340999999998
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2023-02-27 02:16:46,[3],0.9500000000000001,False,186,7755,46,1.1.1,741680,0.004587382
decredvoting.com,mainnet,2021-02-01,2023-02-27 02:16:46,[3],1,False,155,3502,24,1.1.1,741680,0.0038228186
stakey.net,mainnet,2020-10-22,2023-02-27 02:16:45,[3],1,False,285,26670,195,1.1.1,741680,0.0070290533
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2023-02-27 02:16:45,[3],0.6900000000000001,False,103,160,0,1.2.0-pre+824c41c2a,1089442,0.020003885000000002
teststakepool.decred.org,testnet,2020-06-01,2023-02-27 02:16:46,[3],3,False,0,213765,1032,1.1.1,1085710,0
ultravsp.uk,mainnet,2020-12-01,2023-02-27 02:16:46,[3],0.30000000000000004,False,513,9334,40,1.1.1,741680,0.012652297000000002
vsp.coinmine.pl,mainnet,2021-01-28,2023-02-27 02:16:46,[3],0.5,False,247,27194,169,1.1.1,741680,0.006091846000000001
vsp.dcr.farm,mainnet,2020-12-09,2023-02-27 02:16:45,[3],0.9500000000000001,False,119,6120,37,1.1.0,741680,0.002934938
vsp.decredcommunity.org,mainnet,2020-11-05,2023-02-27 02:16:46,[3],0.49,False,767,6564,20,1.1.1,741680,0.018916786
vsp.stakeminer.com,mainnet,2020-11-09,2023-02-27 02:16:46,[3],1,False,731,22547,124,1.1.1,741680,0.018028906
vspd.99split.com,mainnet,2020-11-17,2023-02-27 02:16:46,[3],0.30000000000000004,False,1908,14803,61,1.1.1,741680,0.047057662
vspd.bass.cf,mainnet,2022-05-01,2023-02-27 02:16:46,[3],0.2,False,770,5806,50,1.1.1,741680,0.018990776
vspd.decredbrasil.com,mainnet,2020-11-22,2023-02-27 02:16:46,[3],5,False,74,2037,15,1.1.1,741680,0.0018250876
