id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2024-01-26 01:38:48,[3],0.30000000000000004,False,352,4830,26,26,0,1.3.2,837778,0.008479067
dcrhive.com,mainnet,2022-06-23,2024-01-26 01:38:47,[3],0.15,False,1272,16029,93,93,0,1.3.2+bec2d12a0,837778,0.030640267000000002
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2024-01-26 01:38:48,[3],0.9500000000000001,False,98,10189,63,62,1,1.3.1+22d04116b,837778,0.0023606494
decred.stake.fun,mainnet,2021-01-28,2024-01-26 01:38:47,[3],0.5,False,124,29493,177,175,2,1.3.1,837778,0.002986944
decredvoting.com,mainnet,2021-02-01,2024-01-26 01:38:48,[3],1,False,151,4905,34,33,1,1.3.2,837778,0.003637327
stakey.net,mainnet,2020-10-22,2024-01-26 01:38:47,[3],1,False,249,30580,225,225,0,1.3.2+f79363a87,837778,0.005997976800000001
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2024-01-26 01:38:47,[3],0.6900000000000001,False,460,87932,996,221,775,1.3.1+22d04116b,1309147,0.09078349999999999
teststakepool.decred.org,testnet,2020-06-01,2024-01-26 01:38:47,[3],3,False,0,213770,1032,0,0,1.3.0-pre+de79ce74b,1297170,0
ultravsp.uk,mainnet,2020-12-01,2024-01-26 01:38:48,[3],0.30000000000000004,False,298,13348,80,79,1,1.4.0-pre+015cf707b,837778,0.0071783015
vote.dcr-swiss.ch,mainnet,2023-06-30,2024-01-26 01:38:47,[3],0.1,False,814,1725,0,0,0,1.3.2+bec2d12a0,837778,0.019607844000000003
vsp.dcr.farm,mainnet,2020-12-09,2024-01-26 01:38:47,[3],1,False,172,8111,44,42,2,1.3.1,837778,0.004143181
vsp.decredcommunity.org,mainnet,2020-11-05,2024-01-26 01:38:48,[3],0.49,False,638,12397,61,61,0,1.3.2+bec2d12a0,837778,0.01536831
vsp.stakeminer.com,mainnet,2020-11-09,2024-01-26 01:38:48,[3],1,False,632,29039,175,175,0,1.3.1+1e824f8dd,837778,0.015223780000000001
vspd.99split.com,mainnet,2020-11-17,2024-01-26 01:38:48,[3],0.30000000000000004,False,323,27071,171,171,0,1.3.2,837778,0.0077805077000000005
vspd.bass.cf,mainnet,2022-05-01,2024-01-26 01:38:48,[3],0.2,False,1091,16609,140,0,0,1.2.0,837778,0.026280291
vspd.decredbrasil.com,mainnet,2020-11-22,2024-01-26 01:38:48,[3],5,False,33,2791,20,20,0,1.3.2+bec2d12a0,837778,0.0007949126
