id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2025-09-27 01:26:31,[3],0.088,False,1365,13612,70,3,1.3.2,1013578,0.032799885
dcrhive.com,mainnet,2022-06-23,2025-09-21 07:42:03,[3],1,False,270,29120,216,1,1.3.2+bec2d12a0,1011944,0.0069316080000000006
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2025-09-27 01:26:31,[3],0.9500000000000001,False,111,14619,98,320,1.3.2+bec2d12a0,1013574,0.0026667947
decred.stake.fun,mainnet,2021-01-28,2025-09-27 01:26:31,[3],0.5,False,67,31548,194,46,1.3.1,1013578,0.0016099577
decredvoting.com,mainnet,2021-02-01,2025-09-27 01:26:31,[3],1,False,532,8212,52,1,1.3.2,1013578,0.012783545
stakey.net,mainnet,2020-10-22,2025-09-27 01:26:31,[3],1,False,247,35942,275,0,1.3.2+f79363a87,1013578,0.0059352173
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2025-09-27 01:26:31,[3],0.6900000000000001,False,1126,346769,765,910,1.4.0-pre+5263bfc2e,1748362,0.2765226
teststakepool.decred.org,testnet,2020-06-01,1970-01-01 00:00:00,,0,False,0,0,0,0,,0,0
ultravsp.uk,mainnet,2020-12-01,2025-09-27 01:26:31,[3],0.30000000000000004,False,377,19443,118,1,1.4.0-pre+015cf707b,1013578,0.009059016000000001
vote.dcr-swiss.ch,mainnet,2023-06-30,2025-09-27 01:26:31,[3],0.18,False,1002,28044,166,1,1.3.2+bec2d12a0,1013578,0.024077278
vsp.dcr.farm,mainnet,2020-12-09,2025-09-27 01:26:31,[3],0.5,False,285,15599,82,2,1.3.2,1013578,0.0068483273
vsp.decredcommunity.org,mainnet,2020-11-05,2025-09-27 01:26:31,[3],0.49,False,465,21370,135,12,1.3.2+bec2d12a0,1013578,0.011173587
vsp.stakeminer.com,mainnet,2020-11-09,2025-09-27 01:26:31,[3],1,False,276,35445,229,0,1.3.2+81acb861c,1013578,0.006632064500000001
vspd.99split.com,mainnet,2020-11-17,2025-09-25 01:32:24,[3],0.099,True,0,33920,221,104,1.3.2,1013004,0
vspd.bass.cf,mainnet,2022-05-01,2025-09-27 01:26:31,[3],0.2,False,321,29008,171,79,1.3.2,1013578,0.0077133793
vspd.decredbrasil.com,mainnet,2020-11-22,1970-01-01 00:00:00,,0,False,0,0,0,0,,0,0
